category,tier,produkt,preis_eur,link,quelle_hinweis,stand,tt
rad,Budget,Van Rysel EDR AF Shimano Claris 2x8 (Decathlon-Einstieg),800,https://www.decathlon.de/alle-sportarten-a-z/fahrrad-welt/van-rysel-rennrader,Einstiegspreis modellabhaengig - vor Ort/online pruefen,2026-09,
rad,Mittelklasse,Liv Langma Advanced 3,1529,https://www.bike-components.de/de/rennrad/,Preis bei bike-components beobachtet,2026-09,
rad,Mittelklasse,Cube Agree C:62 One,2319,https://www.bike-components.de/de/rennrad/,Preis bei bike-components beobachtet,2026-09,
rad,Premium,Orbea Orca M30i - 105 Di2,2349,https://www.bike-components.de/de/rennrad/,Preis bei bike-components beobachtet,2026-09,
rad,Premium,BMC Teammachine R01 Five,4349,https://www.bike-components.de/de/rennrad/,Preis bei bike-components beobachtet,2026-09,
rad,Dediziertes Triathlonrad,Cube Aerium C:68X SLT,7199,https://www.bike-components.de/de/rennrad/,,2026-09,1
radOpt,Budget,Einsteiger-Carbonlaufradsatz,250,https://www.bike-components.de/de/komponenten/laufraeder/,,2026-09,
radOpt,Mittelklasse,Mittelklasse-Laufradsatz Carbon,700,https://www.bike-components.de/de/komponenten/laufraeder/,,2026-09,
radOpt,Premium,Premium-Aero-Laufradsatz,1800,https://www.bike-components.de/de/komponenten/laufraeder/,,2026-09,
neo,Budget,Orca Athlex Float,255,https://www.bike24.de/marken/orca,,2026-09,
neo,Mittelklasse,Zone3 Aspire Wetsuit (Damen),480,https://triathlon.de/collections/schwimmen,,2026-09,
neo,Premium/Marke,Blueseventy Fusion,600,https://blueseventy.eu/de/collections/wetsuits,,2026-09,
uhr,Budget,Garmin Forerunner 55,155,https://www.bike24.de/pulsmesser-sportuhren.html/f.marke.garmin,,2026-09,
uhr,Budget-Mittelklasse,Coros Pace 3,220,https://coros.com/pace3,,2026-09,
uhr,Mittelklasse,Polar Pacer,229,https://www.polar.com/de/all-watches,,2026-09,
uhr,Mittelklasse-Hoch,Garmin Forerunner 265,600,https://www.bike24.de/pulsmesser-sportuhren.html/f.marke.garmin,Preis via Drittanbieter-Listing - stark schwankend,2026-09,
trisuit,Budget,Zone3 Activate Trisuit,120,https://www.bike24.de/p1710500.html,,2026-09,
trisuit,Premium,Castelli Free Tri Suit,230,https://www.castelli-cycling.com/US/en/Men/Triathlon/Triathlon-Suits/c/Man-Tri-Sui,,2026-09,
schwimmzub,Budget,Sailfish Goggle Sweden Silver Mirror,16,https://triathlon.de/collections/schwimmbrille,,2026-09,
schwimmzub,Budget-Mittelklasse,Speedo Schwimmbrillen (diverse),18,https://de.speedo.com/schwimmbrillen/alle-schwimmbrillen.list,,2026-09,
schwimmzub,Mittelklasse,Zone3 Venator-X Polarised,45,https://triathlon.de/collections/schwimmbrille,,2026-09,
schuhe,Budget,Einsteiger-Laufschuh (z. B. Decathlon Kiprun),90,https://www.tradeinn.com/runnerinn/de/herrenschuhe-running-schuhe/10004/s,,2026-09,
schuhe,Mittelklasse,Asics Novablast 5,140,https://www.tradeinn.com/runnerinn/de/herrenschuhe-running-schuhe/10004/s,,2026-09,
schuhe,Premium,Saucony Endorphin Pro 4 (Wettkampf-Carbonschuh),230,https://www.tradeinn.com/runnerinn/de/herrenschuhe-running-schuhe/10004/s,,2026-09,
renntag,Budget,Gels/Riegel fuer ein Rennen (Basisversorgung),20,,Kein Einzelprodukt-Link - allgemeine Kategorie,2026-09,
renntag,Mittelklasse,Gels + Flaschenhalter + Rahmentasche,40,,Kein Einzelprodukt-Link - allgemeine Kategorie,2026-09,
renntag,Premium,Vollausstattung inkl. Wechselbeutel fuer mehrere Rennen,90,,Kein Einzelprodukt-Link - allgemeine Kategorie,2026-09,
